com-, con-, co-	ともに、強意
re-	後ろへ、再び、反対に、強意
in-, il-, im-, en-, em-	中へ、上に、その方向へ、その状態にする
ad-, ar-, at-, ap-, af-, as-, ag-, ac-, an-, a-	それへ、付加
pre-, per-, pro-, pur-	前に、前もって、代わりの
ex-, ef-, e-	外へ、強意
dis-, di-	否定、離れて、強意
de-	離れて、下へ、否定、徹底的に、強意、外へ
sub-, suf-, sup-, sus-, suc-, sug-	下に、代理、下から上へ
in-, im-	否定
un-	否定、反転
ab-, abs-	離れた
per-, par-	貫き通す、徹底的に
ob-, oc-, of-, op-	その方向へ、反対の、後ろへ
inter-, enter-	間の、中へ
sur-, super-, supra-	上の、超えて
trans-, tra-	向こう側へ、変換
se-	離れて
mis-	誤って、悪い
sym-, syn-	ともに
uni-	1 つ
tri-	3 つの
bene-, bon-, beni-	よい
auto-	自身
over-	上に、過度に、超えて
bi-, di-	2 つの
meso-, mid-, med-, mezzo-	中間
mal-	悪い
tele-	遠く
non-	否定
anti-	反する
a-	否定、除外
ambi-	周囲
multi-	多くの
para-	反する、近く
milli-	千、千分の一
semi-	半分の
micro-	小さな
mono-	単一の
hydro-	水の
contra-, contro-	反対に
photo-	光
deca-, deci-	10 の
oxy-	酸
techno-	技術の
psycho-	精神、心理
epi-	上の、間の
a-	接する、その方向へ
intro-	中へ
gastro-	胃、腹
yester-	すぐ前の
retro-	後ろ
infra-, infer-	下の
agri-, agro-	畑、野原
sim-, sin-	1 つ
biblio-	本
dia-	横切って
penta-, pent-	5 つの
octa-, octo-	8 つの
anthropo-	人間
ortho-	まっすぐ、ただしさ
ana-	上げる、戻す
tetra-	4 つの
poly-	たくさんの
archi-	主任、主な
magni-	大きい
pedi-, pedo-	子ども
palaeo-, paleo-	古代
dendro-	樹木の
hexa-	6 つの
ennea-	9 つの
extra-	外側
onto-	存在
omni-	すべて
xeno-	外国人、未知の
spectro-	分光
mega-	大きな、百万
acro-	高い
hepta-	7 つの
dodeca-	12 の
dys-	悪い
pan-	すべて
macro-	大きな、長い
post-	後に
philo-	愛
logo-	言語の
hemi-	半分の
demi-	半分の
stetho-	胸の
peri-	周辺の
a-	非、～と関係ない
anti-	反対、敵対、対抗、防止
be-	～にする ※名詞を他動詞にする。
be-	全体に、まわりに、強固に
by-	副次的、付随的
co-	共同、共通、相互、同等
col-	共同、共通、相互、同等
cor-	共同、共通、相互、同等
counter-	反対、対立、相殺、相当
de-	分解、除去、悪化、否定
dis-	否定、無、不
dis-	除去、止めるなど・・・反対の作用を示す
dis-	除く、奪う
dis-	取り除く ※名詞を他動詞にする。
en-	～に入れる ※名詞を他動詞にする。
em-	～に入れる ※名詞を他動詞にする。
en-	※形容詞を動詞にする。
ex-	前の～、元の～
extra-	～の外の、範囲外の、並外れた
fore-	前もって、先～、予～
fore-	前の
hyper-	過度に、非常な、超えた
hyper-	過度に、非常な、超えた
il-	否定、反対、不足
il-	不、逆、反対
im-	否定、反対、不足
im-	不、逆、反対
in-	不、逆、反対
in-	否定、反対、不足
inter-	～の間、相互
inter-	～の間・相互で～する
inter-	～の間、相互
intra-	内、間
ir-	不、逆、反対
ir-	否定、反対、不足
mal-	悪性の、不良の、不全の、異常な
mal-	悪、不良、不全
mis-	誤って、悪く
mis-	誤って、悪く、不利に
multi-	多数の、多様の
multi-	多数の、多様の
non-	非
non-	不、非
out-	元の動詞の意味を上回る ※自動詞を他動詞に変える
out-	元の名詞の意味を上回る ※名詞を他動詞に変える
over-	～の限度を超えて
over-	必要以上に～する
over-	過度の、限度を超えた
post-	後の、次の
post-	～後の
pre-	～以前の、前もって
pre-	前もって～する
pre-	あらかじめ～する、以前の、～の前
pro-	～に賛成、～を支持
re-	～を直す、再度～をする
re-	再び
semi-	半～、準～
semi-	半～、準～
semi-	一定期間に2回の
sub-	準、下位、～に値しない
sub-	下、下位、福～
super-	極上の、とても良い
super-	極上の、とても良い
trans-	超えて、横切って
trans-	超えて、横切って
ultra-	超、過、極端に
ultra-	並外れた
un-	～でない、不～
un-	元の動詞の意味の前の状態に戻す
un-	非、無、不
un-	除去、解放、奪取
under-	十分に～する
under-	下の、十分でない
a-	不定
an-	不定
a-	～へ
ac-	～へ
ad-	～へ
af-	～へ
ag-	～へ
ap-	～へ
at-	～へ
ab-	離れて
ambi-	両方へ
ante-	前に
bene-	善い
circum-	周りに、周りを
con-	共に
com-	共に
con-	完全に
cor-	完全に
contra-	反して
de-	下へ、離れて
di-	離れて
di-	二つ
dis-	離れて
dys-	障害
e-	外に、外へ
en-	中に、上に
em-	中に、上に
epi-	上に、間に、外に、後に
eph-	上に、間に、外に、後に
ep-	上に、間に、外に、後に
equi-	等しい、等しく
eu-	良い
ex-	外へ
extra-	～の外の、～を超えて
in-	中に、上に
im-	中に、上に
inter-	間で
intra-	～内の
intro-	中に
mal-	悪い
omini-	すべての
pan-	すべてにわたる
per-	通って、通して
per-	完全に
post-	後に
pre-	前に、前もって
pro-	先に
pro-	前もって、以前に
re-	再び、後ろへ
retro-	再び元へ、後方へ、逆に
sub-	下に
suc-	下に
suf-	下に
sus-	下に
sup-	下に
super-	上に
sur-	上に
syn-	共に
sym-	共に
trans-	超えて
ischio-, ischi-	坐骨
phaco-, phac-	レンズ、レンズ形状
phaeo-, phae-	暗い、灰色
atrio-, atri-	心房
atto-, att-	1018分の1
batho-, bath-	深、深度
botryo-, botry-	ぶどうの房、クラスター
bulbo-, bulb-	球根
caprio-, capri-	山羊
gamo-, gam-	結合、合併
gono-, gon-	生殖の、性的な
granulo-, granul-	顆粒、粒状
heredo-, hered-	遺伝性
hetero-, heter-	他の、異なる
hidro-, hidr-	汗、汗腺の
hiero-, hier-	聖なる、聖職者
hygro-, hygr-	湿った、濡れた、湿気
hyo-, hy-	舌骨
iatro-, iatr-	医師、医学、治癒
latero-, later-	横、側
liparo-, lipar-	油性、脂肪性、油脂性
meningo-, mening-	髄膜
mixo-, mix-	混合、性交
musico-, music-	音楽
necro-, necr-	死、死体、死んだ組織
neutro-, neutr-	中立の
nimbo-, nimb-	雨雲、雪雲、(聖像の頭部を囲む)後光、光輪
nitroso-, nitros-	[物質]ニトロソ化合物
noci-, noc-	傷、痛み、苦痛
nuci-, nuc-	木の実、堅果、ナッツ
omento-, oment-	大網
ophio-, ophi-	蛇
osseo-, osse-	骨
ossio-, ossi-	骨
osteo-, oste-	骨
pachyo-, pachy-	厚い
pancreatico-, pancreatic-	膵臓
papillo-, papill-	小乳頭状突起、乳頭突起
papulo-, papul-	丘疹
phoro-, phor-	運動、活動
proprio-, propri-	自分のもの
prosopo-, prosop-	顔
