suffix,role,pos
al,[1] 単語を形容詞化、～のような、～の、～に関連した、～に適した [2] 単語を名詞化、行為、結果、こと、もの,名詞・形容詞
ion,[1] 行為、状態、結果、拡大、こと、もの [2] 単語を名詞化,名詞
tion,[1] 行為、状態、結果、拡大、こと、もの [2] 単語を名詞化,名詞
able,[1] 可能、～できる、～しうる、～され得る [2] ～にふさわしい、～の特徴をもった,形容詞
ible,[1] 可能、～できる、～しうる、～され得る [2] ～にふさわしい、～の特徴をもった,形容詞
ble,[1] 可能、～できる、～しうる、～され得る [2] ～にふさわしい、～の特徴をもった,形容詞
ar,[1] 単語を名詞化、～する人、～するもの、～と関係する人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
eer,[1] 単語を名詞化、～する人、～するもの、～と関係する人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
er,[1] 単語を名詞化、～する人、～するもの、～と関係する人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
ier,[1] 単語を名詞化、～する人、～するもの、～と関係する人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
or,[1] 単語を名詞化、～する人、～するもの、～と関係する人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
tor,[1] 単語を名詞化、～する人、～するもの、～と関係する人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
ate,[1] 単語を動詞化、～させる、～する、～にする [2] 単語を形容詞化、～の特徴を持つ [3] 単語を名詞化、こと、もの,名詞・動詞・形容詞
ant,[1] 単語を名詞化、～する人、～する物 [2] 単語を形容詞化、～の特質を持つ、～のような,名詞・形容詞
ent,[1] 単語を名詞化、～する人、～する物 [2] 単語を形容詞化、～の特質を持つ、～のような,名詞・形容詞
ness,単語を名詞化、形容詞の抽象名詞化、こと,名詞
cy,[1] 単語を形容詞化、～のような、～の傾向がある、名詞の示す性質を持つ [2] 単語を名詞化、行為、結果、状態、こと、もの [3] 小さいこと、可愛いこと,名詞・形容詞
y,[1] 単語を形容詞化、～のような、～の傾向がある、名詞の示す性質を持つ [2] 単語を名詞化、行為、結果、状態、こと、もの [3] 小さいこと、可愛いこと,名詞・形容詞
less,[1] 否定、～のない、～が無いような [2] ～できない、～困難,形容詞
ism,[1] 主義、～主義、主張 [2] 差別、～差別 [3] 表現、精神、～表現 [4] 行為、状態、態度・行動、特性、病状、～行為,名詞
age,[1] 行為、状態、地位、集合、場所、こと [2] 単語を名詞化,名詞
an,[1] 単語を名詞化(人)、～の人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
ian,[1] 単語を名詞化(人)、～の人 [2] 単語を形容詞化、～の性質、～のような,名詞・形容詞
ship,[1] 能力、資格、地位、役職、特質、状態、関係、姿勢 [2] 単語を名詞化,名詞
fold,倍数の、～重、～倍,形容詞
scope,[1] 見る、見るもの、～を見る器械 [2] ～検器、～鏡,名詞
phobia,恐怖、恐怖症,名詞
teen,10以上、10代,名詞
ward,[1] 単語を形容詞化、単語を副詞化 [2] 方向、「方向」の意味にする,名詞・形容詞・副詞
wards,[1] 単語を形容詞化、単語を副詞化 [2] 方向、「方向」の意味にする,名詞・形容詞・副詞
th,[1] 番目 [2] 状態、性質 [3] 単語を名詞化,名詞
hood,[1] 身分、立場、状態 [2] 単語を名詞化,名詞
in,化学物質,名詞
ability,特質,名詞
ese,～人、～語、～の,名詞・形容詞
gate,～のスキャンダル,名詞
let,名詞が示すものの小型化したもの,名詞・形容詞
like,～のような、～らしい,形容詞
ling,小さいこと、可愛らしさ,名詞
mission,の動詞の名詞化,名詞
missive,の動詞の形容詞化,形容詞
monger,[1] 特定のものを販売する人 [2] 良くないことを活発にする人,名詞
se,語尾が-の動詞の名詞化,名詞
sion,"単語を名詞化 (語尾が-, -, - の動詞を名詞化する)",名詞
smith,職人,名詞
some,～を生じる,動詞
tic,～症,名詞
c,～症,名詞
sis,[1] ～症、症状、作用 [2] 単語を名詞化 (ギリシャ語語源で複数形は-),名詞
red,状態を表す名詞の形成,名詞
ops,(生物や有機構造の)類似性,名詞
sect,切る,名詞
spore,胞子を持つ,名詞
meal,[1] 尺度 [2] (穀物の)粉末,名詞
agog,[1] 分泌を促す物質 [2] 先導するもの(人),名詞
cline,傾斜、斜面,名詞
cola,居住者、耕運機、耕運者、崇拝者、名誉者,名詞
corn,角、触角,名詞
dentate,のこぎり歯状、歯状、距歯,名詞
genesis,遺伝、進化、発展、起源,名詞
ole,[1] 小さいもの [2] 不飽和の複素五員環を含む、芳香族有機エーテル,名詞
on,化学合成物、素粒子、量子、不活性ガス、分子の単位,名詞
plastic,～形成された、～から成る、～属す、～に関する、～の性質,形容詞
style,柱、円柱、円柱状,名詞
trope,産生細胞、生成細胞、変化・回転・応答するもの,名詞・形容詞
lithic,石,名詞
acanthus,とげ・脊柱・脊椎骨を持つ生物,名詞
carp,果実,名詞
carpus,果実を持つ植物名,名詞
cephalic,～の頭を持つ,名詞
chord,音階、音程、弦を持つ楽器,名詞
clastic,[1] 破壊、破壊者 [2] ～岩,名詞
clinic,傾斜の、2座標軸が斜交した,形容詞
coccus,球菌、球状微生物,名詞
dermis,皮膚、皮膚細胞,名詞
form,形状,名詞
gam,～の繁殖手段を持つ植物,名詞
metric,～測定の,形容詞
ode,～のような、～に似た,形容詞
ophthalmia,目の症状,名詞
paras,～人の子を出産した女性 (- の複数形),名詞
seism,地震、振動,名詞
stoma,～口・気孔を持つ,名詞
stomata,～口・気孔を持つ、小孔(気孔・気門)を持つ (- の複数形),名詞
syllabic,音節を持つ,名詞
theism,～神の信仰,名詞
theist,～神の信仰者,名詞
theistic,～神の信仰,名詞
chore,～媒植物、～によって分布した植物,名詞
branch,えら(のようなもの)を持つもの,名詞・形容詞
cyan,[1] 青素、藍色 [2] [物質]シアノ、シアン,名詞
cyst,膀胱、嚢、包嚢,名詞
idea,(動物の)～科,名詞
related,～に関係のある、～関連の、～本位の、～系の,形容詞
speak,～用語、～言葉、～の言うところの,名詞・形容詞
specific,～に特有、～固有の、(医学)～特異,名詞・形容詞
lingual,～つの言語を話す、～つの言語を使う,名詞
arch,支配者、統制者、君主、～に起点を持つ,名詞
aster,星,名詞
blast,成長、出芽、胚種、胚細胞、形成細胞、胚葉、形成層,名詞
burger,ひき肉のサンドイッチ,名詞
ce,～度、～倍,名詞・形容詞
chrome,[1] 色、着色した [2] クロミウム、クロム,名詞
craft,[1] 技巧、手先の技術、術、知識 [2] ～の乗り物,名詞
land,土地,名詞
later,崇拝者,名詞
maker,製作者、製作者側,名詞
mere,部分,名詞
nasty,傾性の、外部刺激に反応で一定方向に曲がる植物の運動,名詞・副詞
phage,消費、食事、食べる者,名詞
podium,足、足状の,名詞・形容詞
rhea,流れ、降ろす,名詞
section,切断、分割,名詞
sperm,種、種子,名詞
tome,切除器具、切断装置,名詞
type,型、形式,名詞
worthy,～に適した,形容詞
proof,[1] 耐～、防～、～通さない、～保護された、～に耐える [2] ～にも扱える,形容詞
biotic,(特定の)生き方をする、～の生態をもつ,形容詞
grade,歩く、歩き方,名詞
sphere,球面体を覆うこと、球面体、球形,名詞
kin,小さい、小さいもの,名詞・形容詞
phone,[1] 声、音 [2] ～発話者,名詞
graph,書かれた物、記録する機械,名詞
mania,～狂い、～に熱中する人,名詞
meter,計測器、計測手段,名詞
path,病気、患う人,名詞
long,～の継続時間,形容詞
man,～の人,名詞
work,工芸品、作品、構造,名詞
pod,足、足のある、特定の種類の足,名詞
acne,単語を名詞化,名詞
ence,単語を名詞化,名詞
fy,～にする、単語を動詞化する働き,名詞・動詞
log,[1] 言葉 [2] 学,名詞
logi,[1] 言葉 [2] 学,名詞
logue,[1] 言葉 [2] 学,名詞
logy,[1] 言葉 [2] 学,名詞
wise,単語を副詞化,名詞・副詞
